Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,ScrapedURL,HasTerrace,HasGarden
20233131,Brussels,Brussels,Brussels,Ixelles,1050,Rue Du Relais - Pleisterstraat,395000,residential_sale,APARTMENT,APARTMENT,1.0,100.0,HYPER_EQUIPPED,0,0,0,3.0,,,4.0,,JUST_RENOVATED,,,,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233131,1,0
20226645,Brussels,Brussels,Brussels,Brussel,1000,Hooikaai,455000,residential_sale,APARTMENT,APARTMENT,2.0,120.0,SEMI_EQUIPPED,0,0,0,,,,6.0,,TO_BE_DONE_UP,,,F,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20226645,0,0
20240570,Brussels,Brussels,Brussels,Evere,1140,Avenue de l'Oud-Kapelleke,235000,residential_sale,APARTMENT,APARTMENT,2.0,75.0,,0,0,0,14.0,,,1.0,,GOOD,,,E,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20240570,1,0
20243133,Flanders,West Flanders,Brugge,Blankenberge,8370,Kerkstraat,189000,residential_sale,APARTMENT,APARTMENT,1.0,57.0,,1,0,0,10.0,,,,,GOOD,,,A,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243133,1,0
20240553,Brussels,Brussels,Brussels,Laeken,1020,Avenue Prudent Bols,300000,residential_sale,APARTMENT,PENTHOUSE,2.0,105.0,HYPER_EQUIPPED,1,0,0,,,2.0,4.0,1999.0,GOOD,,,D,https://www.immoweb.be/en/classified/penthouse/for-sale/laeken/1020/20240553,0,0
20226743,Brussels,Brussels,Brussels,Brussels City,1000,,650000,residential_sale,APARTMENT,APARTMENT,2.0,180.0,HYPER_EQUIPPED,0,0,0,,,,8.0,1950.0,GOOD,,,E,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/20226743,0,0
20226435,Brussels,Brussels,Brussels,Bruxelles,1000,Rue des Commerçants,480000,residential_sale,APARTMENT,TRIPLEX,3.0,138.0,HYPER_EQUIPPED,0,0,0,,,2.0,5.0,,AS_NEW,,,D,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/20226435,0,0
20226625,Brussels,Brussels,Brussels,Uccle,1180,Rue Geleytsbeek,499000,residential_sale,APARTMENT,GROUND_FLOOR,3.0,105.0,,0,0,0,15.0,250.0,3.0,3.0,,JUST_RENOVATED,,,,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20226625,1,1
20208311,Brussels,Brussels,Brussels,Uccle,1180,Avenue Montjoie,289000,residential_sale,APARTMENT,APARTMENT,1.0,75.0,,0,0,0,,,,3.0,,,,,G,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20208311,0,0
20233279,Brussels,Brussels,Brussels,Bruxelles,1000,Avenue De Cortenbergh - Kortenberglaan,289000,residential_sale,APARTMENT,APARTMENT,0.0,34.0,USA_HYPER_EQUIPPED,1,0,0,,,,7.0,2022.0,AS_NEW,,,B,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20233279,0,0
