Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,ScrapedURL,HasTerrace,HasGarden
11445541,Brussels,Brussels,Brussels,Bruxelles,1020,Avenue De La Bugrane - Stalkruidlaan,1000000,residential_sale,HOUSE,VILLA,6.0,500.0,HYPER_EQUIPPED,0,1,0,1.0,387.0,3.0,2.0,,GOOD,0.0,517.0,E,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/11445541,1,1
20093183,Brussels,Brussels,Brussels,Forest,1190,Place Saint-Denis - Sint-Denijsplein,565000,residential_sale,HOUSE,MIXED_USE_BUILDING,4.0,260.0,USA_SEMI_EQUIPPED,0,1,0,14.0,150.0,2.0,3.0,1903.0,TO_BE_DONE_UP,7.0,250.0,G,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/forest/1190/20093183,1,1
20240551,Flanders,Antwerp,Antwerp,Wilrijk,2610,Vaderlandstraat,410000,residential_sale,HOUSE,APARTMENT_BLOCK,3.0,185.0,INSTALLED,0,0,0,,25.0,2.0,2.0,1945.0,JUST_RENOVATED,0.0,139.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/wilrijk/2610/20240551,0,1
20240549,Wallonie,Luxembourg,Neufchâteau,WELLIN,6920,Rue Houchettes,219000,residential_sale,HOUSE,HOUSE,3.0,103.0,NOT_INSTALLED,0,0,0,,1160.0,2.0,,1850.0,,11.0,1252.0,E,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20240549,0,1
20226427,Brussels,Brussels,Brussels,UCCLE,1180,,820000,residential_sale,HOUSE,HOUSE,4.0,240.0,,0,0,0,20.0,45.0,,,,,0.0,0.0,,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20226427,1,1
20240582,Wallonie,Liège,Waremme,Meeffe,4219,Rue De Liège,370000,residential_sale,HOUSE,HOUSE,3.0,160.0,USA_INSTALLED,0,0,0,1.0,1.0,4.0,1.0,2024.0,AS_NEW,0.0,1039.0,A,https://www.immoweb.be/en/classified/house/for-sale/meeffe/4219/20240582,1,1
20243129,Flanders,Antwerp,Turnhout,Mol,2400,Schaapsbeemdenweg,639000,residential_sale,HOUSE,HOUSE,4.0,240.0,,0,0,0,,,4.0,,,,0.0,700.0,,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20243129,0,0
20243127,Wallonie,Liège,Liège,Seraing,4100,Rue Fivé,199000,residential_sale,HOUSE,HOUSE,4.0,46.0,INSTALLED,0,0,0,10.0,84.0,2.0,2.0,,GOOD,12.0,146.0,C,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20243127,1,1
20226847,Brussels,Brussels,Brussels,Bruxelles 2,1020,,990000,residential_sale,HOUSE,VILLA,4.0,450.0,INSTALLED,0,1,0,,950.0,4.0,,1942.0,,0.0,1165.0,,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles-2/1020/20226847,0,1
20207732,Brussels,Brussels,Brussels,Uccle,1180,,415000,residential_sale,HOUSE,APARTMENT_BLOCK,2.0,150.0,,0,0,0,,,2.0,2.0,,,0.0,0.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20207732,0,0
20231006,Brussels,Brussels,Brussels,Uccle,1180,Avenue Blücher,850000,residential_sale,HOUSE,VILLA,5.0,215.0,,0,0,0,,,3.0,2.0,1961.0,TO_BE_DONE_UP,0.0,0.0,F,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20231006,0,0
20240550,Flanders,Antwerp,Antwerp,Aartselaar,2630,Oever,499000,residential_sale,HOUSE,HOUSE,4.0,218.0,INSTALLED,0,0,0,,530.0,3.0,,1970.0,GOOD,12.0,725.0,C,https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20240550,0,1
20240554,Brussels,Brussels,Brussels,Schaerbeek,1030,Eugène Demolderlaan,1145000,residential_sale,HOUSE,MANSION,5.0,375.0,,0,0,0,30.0,215.0,2.0,3.0,1921.0,AS_NEW,0.0,405.0,D,https://www.immoweb.be/en/classified/mansion/for-sale/schaerbeek/1030/20240554,1,1
20243104,Flanders,West Flanders,Veurne,Nieuwpoort,8620,Witte Brigadelaan,190000,residential_sale,HOUSE,HOUSE,2.0,126.0,,0,0,0,,,2.0,2.0,1930.0,TO_RENOVATE,5.0,175.0,E,https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/20243104,0,0
20243102,Flanders,West Flanders,Tielt,Meulebeke,8760,,449000,residential_sale,HOUSE,HOUSE,3.0,195.0,,0,0,0,,,3.0,3.0,2024.0,AS_NEW,19.0,472.0,,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20243102,0,0
20240583,Brussels,Brussels,Brussels,BERCHEM-SAINTE-AGATHE,1082,Chaussée de Gand,835000,residential_sale,HOUSE,APARTMENT_BLOCK,6.0,320.0,INSTALLED,0,0,0,,,,2.0,,,0.0,0.0,E,https://www.immoweb.be/en/classified/apartment-block/for-sale/berchem-sainte-agathe/1082/20240583,0,0
20207366,Brussels,Brussels,Brussels,Bruxelles,1130,,499000,residential_sale,HOUSE,HOUSE,4.0,201.0,,0,1,0,22.0,210.0,,3.0,,JUST_RENOVATED,0.0,396.0,E,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1130/20207366,1,1
20243090,Flanders,West Flanders,Brugge,Brugge,8310,Klerkenstraat,369000,residential_sale,HOUSE,HOUSE,4.0,177.0,,0,0,0,,,4.0,,1979.0,GOOD,0.0,373.0,C,https://www.immoweb.be/en/classified/house/for-sale/brugge/8310/20243090,0,0
20243073,Flanders,Antwerp,Mechelen,Schriek,2223,Grote Kerkweg,465000,residential_sale,HOUSE,HOUSE,4.0,218.0,HYPER_EQUIPPED,0,0,0,,,,3.0,2017.0,,0.0,255.0,A,https://www.immoweb.be/en/classified/house/for-sale/schriek/2223/20243073,0,0
20242466,Flanders,Flemish Brabant,Leuven,Tremelo,3120,Barbarastraat,265000,residential_sale,HOUSE,HOUSE,2.0,140.0,,0,0,0,,,3.0,,1960.0,TO_RENOVATE,0.0,1084.0,F,https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/20242466,0,0
20103914,Flanders,Antwerp,Mechelen,Heist-op-den-Berg,2220,Kattestraat,325000,residential_sale,HOUSE,HOUSE,3.0,186.0,INSTALLED,0,0,0,,,,,1932.0,JUST_RENOVATED,0.0,101.0,B,https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20103914,0,0
20240531,Flanders,East Flanders,Dendermonde,LEBBEKE,9280,Bakkersstraat,359000,residential_sale,HOUSE,HOUSE,3.0,190.0,,0,0,0,,,2.0,,,JUST_RENOVATED,0.0,0.0,D,https://www.immoweb.be/en/classified/house/for-sale/lebbeke/9280/20240531,0,0
20240529,Flanders,East Flanders,Gent,MELLE,9090,,295000,residential_sale,HOUSE,HOUSE,3.0,170.0,,0,1,0,,,,3.0,,,0.0,490.0,F,https://www.immoweb.be/en/classified/house/for-sale/melle/9090/20240529,0,0
20240571,Flanders,Limburg,Hasselt,Hasselt,3500,Voorstraat,450000,residential_sale,HOUSE,HOUSE,3.0,228.0,INSTALLED,0,0,0,,,3.0,,1956.0,GOOD,0.0,521.0,C,https://www.immoweb.be/en/classified/house/for-sale/hasselt/3500/20240571,0,0
20207588,Brussels,Brussels,Brussels,Molenbeek-Saint-Jean,1080,Boulevard Léopold II,790000,residential_sale,HOUSE,APARTMENT_BLOCK,6.0,300.0,SEMI_EQUIPPED,0,0,0,,,,,,TO_BE_DONE_UP,6.0,210.0,D,https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/20207588,0,0
20243123,Wallonie,Walloon Brabant,Nivelles,Lasne,1380,,695000,residential_sale,HOUSE,VILLA,3.0,143.0,INSTALLED,0,0,0,,1200.0,4.0,1.0,1962.0,GOOD,0.0,1620.0,D,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/20243123,0,1
20208288,Brussels,Brussels,Brussels,Watermael-Boitsfort,1170,Rue De L'hospice Communal - Gemeentelijke Godshuisstraat,780000,residential_sale,HOUSE,HOUSE,4.0,170.0,,0,1,0,12.0,60.0,2.0,2.0,,JUST_RENOVATED,0.0,0.0,C,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/20208288,1,1
20234074,Wallonie,Walloon Brabant,Nivelles,Waterloo,1410,,1100000,residential_sale,HOUSE,HOUSE,4.0,275.0,,0,1,0,,,4.0,1.0,1961.0,TO_RENOVATE,0.0,1900.0,F,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20234074,0,0
